"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-134",20,1,2004,1,0
"113-hr-1340",5,0.21,502,0.47,0
"113-hr-1341",15,0.57,1501,0.56,0
"113-hr-1342",3,0.87,302,0.46,0
"113-hr-1343",21,0.36,2104,0.66,0
"113-hr-1344",20,0.23,2002,0.42,0
"113-hr-1345",12,0.23,1201,0.22,0
"113-hr-1346",15,0.2,1525,0.31,0
"113-hr-1347",21,0.39,2103,0.36,0
"113-hr-1348",21,0.63,2101,0.92,0
"113-hr-1349",21,0.93,2101,0.88,0
"113-hr-135",15,0.31,1523,0.67,0
"113-hr-1350",12,0.21,1207,0.21,0
"113-hr-1351",21,0.68,2103,0.79,0
"113-hr-1352",21,0.59,2104,0.4,0
"113-hr-1353",6,0.93,601,0.43,0
"113-hr-1354",15,0.25,1524,0.32,0
"113-hr-1355",13,0.24,1301,0.69,0
"113-hr-1356",20,1,2008,1,0
"113-hr-1357",16,0.61,1608,0.72,0
"113-hr-1358",15,0.16,1525,0.28,0
"113-hr-1359",20,0.49,2011,0.34,0
"113-hr-136",12,0.25,1201,0.31,0
"113-hr-1360",16,0.74,1608,0.71,0
"113-hr-1361",16,0.65,1608,0.44,0
"113-hr-1362",12,0.46,1201,0.55,0
"113-hr-1363",8,0.58,803,0.29,0
"113-hr-1364",10,0.77,1002,0.39,0
"113-hr-1365",12,0.19,1207,0.21,0
"113-hr-1366",15,0.18,1525,0.26,0
"113-hr-1367",3,0.74,335,0.49,0
"113-hr-1368",15,0.19,1525,0.3,0
"113-hr-1369",12,0.74,1209,0.42,0
"113-hr-137",12,0.53,1209,0.54,0
"113-hr-1370",19,0.4,1921,0.43,0
"113-hr-1371",21,0.35,2102,0.77,0
"113-hr-1372",16,0.97,1608,0.69,0
"113-hr-1373",12,0.21,1201,0.26,0
"113-hr-1374",13,0.64,1303,0.98,0
"113-hr-1375",8,0.81,806,0.34,0
"113-hr-1376",20,1,2008,1,0
"113-hr-1377",21,0.64,2102,0.66,0
"113-hr-1378",20,0.99,2008,1,0
"113-hr-1379",15,0.23,1525,0.27,0
"113-hr-138",12,0.48,1209,0.46,0
"113-hr-1380",20,0.57,2002,0.42,0
"113-hr-1381",6,0.95,601,0.54,0
"113-hr-1382",15,0.2,1523,0.28,0
"113-hr-1383",3,0.22,302,0.26,0
"113-hr-1384",7,0.63,709,0.93,0
"113-hr-1385",3,0.54,321,0.34,0
"113-hr-1386",6,0.53,602,0.85,0
"113-hr-1387",5,0.48,505,0.84,0
"113-hr-1388",18,1,1807,1,0
"113-hr-1389",16,0.7,1608,0.67,0
"113-hr-139",21,0.33,2103,0.66,0
"113-hr-1390",3,0.32,322,0.67,0
"113-hr-1391",20,1,2008,1,0
"113-hr-1392",20,1,2008,1,0
"113-hr-1393",20,1,2008,1,0
"113-hr-1394",8,0.83,800,0.57,0
"113-hr-1395",15,0.19,1525,0.32,0
"113-hr-1396",4,0.25,402,0.6,0
"113-hr-1397",21,0.36,2104,0.66,0
"113-hr-1398",15,0.3,1525,0.74,0
"113-hr-1399",17,0.17,1706,0.44,0
